source,target,song
J. Cole,Amber Coffman,She Knows
J. Cole,Miguel,Power Trip
J. Cole,TLC,Crooked Smile
J. Cole,Kendrick Lamar,Forbidden Fruit
J. Cole,Missy Elliott,Nobody’s Perfect
Drake,Kyla,One Dance
Drake,Wizkid,One Dance
Drake,Majid Jordan,"Hold On, We’re Going Home"
Drake,2 Chainz,All Me
Drake,Big Sean,All Me
Drake,Jhené Aiko,From Time
Drake,Lil Wayne,The Motto
Drake,JAY-Z,Pound Cake / Paris Morton Music 2
Drake,Lil Wayne,HYFR (Hell Ya Fucking Right)
Drake,Rihanna,Too Good
Drake,Chantal Kreviazuk,Over My Dead Body
Kendrick Lamar,MC Eiht,m.A.A.d city
Kendrick Lamar,Jay Rock,Money Trees
Kendrick Lamar,U2,XXX.
Kendrick Lamar,Drake,Poetic Justice
Kendrick Lamar,Zacari,LOVE.
Kendrick Lamar,Rihanna,LOYALTY.
Kendrick Lamar,George Clinton,Wesley’s Theory
Kendrick Lamar,Thundercat,Wesley’s Theory
Kendrick Lamar,Lefty Gunplay,tv off
Kanye West,Big Sean,Mercy
Kanye West,Pusha T,Mercy
Kanye West,2 Chainz,Mercy
Kanye West,JAY-Z,Monster
Kanye West,Rick Ross,Monster
Kanye West,Nicki Minaj,Monster
Kanye West,Bon Iver,Monster
Kanye West,Kid Cudi,Father Stretch My Hands Pt. 1
Kanye West,The-Dream,Ultralight Beam
Kanye West,Kelly Price,Ultralight Beam
Kanye West,Kirk Franklin,Ultralight Beam
Kanye West,Chance the Rapper,Ultralight Beam
Kanye West,Pusha T,Runaway
Kanye West,Kendrick Lamar,No More Parties in LA
Kanye West,PARTYNEXTDOOR,Ghost Town
Kanye West,070 Shake,Ghost Town
Kanye West,Kid Cudi,Ghost Town
Kanye West,Jamie Foxx,Gold Digger
Kanye West,Rihanna,Famous
Kanye West,Sia,Wolves
Kanye West,VIC MENSA,Wolves
Kanye West,Ty Dolla $ign,Real Friends
Kanye West,Rick Ross,Devil In a New Dress
Kanye West,Playboi Carti,Off The Grid
Kanye West,Fivio Foreign,Off The Grid
Kanye West,Sampha,Saint Pablo
Kanye West,Kid Cudi,Gorgeous
Kanye West,Raekwon,Gorgeous
Kanye West,Desiigner,Pt. 2
Kanye West,The Weeknd,FML
Kanye West,Chris Brown,Waves
Future,The Weeknd,Low Life
Future,Drake,Life Is Good
Future,The Weeknd,Comin Out Strong
Future,Drake,Where Ya At
Future,Kanye West,I Won
Future,Drake,WAIT FOR U
Future,Tems,WAIT FOR U
Future,Drake,Used to This
Future,Kendrick Lamar,Mask Off (Remix)
Future,Pharrell Williams,Move That Dope
Future,Pusha T,Move That Dope
Future,Casino,Move That Dope
Future,Rihanna,Selfish
